# 合成表
# 基础合成表
# 书写格式
#        合成物品 path=物品1x数量，物品2x数量

石头 path=碎石x30

石剑 path=石头x3，木板x1
石斧 path=石头x2，木板x2
石枪 path=石头x1，木板x3

铁剑 path=铁锭x3，木板x1
铁斧 path=铁锭x2，木板x2
铁枪 path=铁锭x1，木板x3
铁弓 path=铁锭x1，木板x2，皮革x1

钻石剑 path=钻石x3，铁锭x1
钻石斧 path=钻石x3，木板x2
钻石枪 path=钻石x3，木板x6
钻石弓 path=钻石x3，皮革x2

铁头盔 path=铁锭x1，木板x1
铁甲 path=铁锭x2，皮革x2
铁护腿 path=铁锭x2，木板x1，皮革x1
铁靴 path=铁锭x1，皮革x1

钻石头盔 path=钻石x1，皮革x1
钻石甲 path=钻石x2，皮革x2
钻石护腿 path=钻石x2，皮革x1，木板x1
钻石靴 path=钻石x1，木板x2

皮革背包 path=皮革x30，钛合金x3
锦鲤项链 path=元旦节纪念品x1，除夕纪念品x1，春节纪念品x1，元宵节纪念品x1，清明节纪念品x1，劳动节纪念品x1，儿童节纪念品x1，端午节纪念品x1，七夕节纪念品x1，中元节纪念品x1，中秋节纪念品x1，国庆节纪念品x1，重阳节纪念品x1
锦鲤戒指 path=内测玩家纪念品x1


土豆块x2 path=土豆x1
